"jour","route_id","customer_id","client","heure_debut","heure_fin","note"
"Mardi","53007","303299","TRUDEAU CORPORATION INTERNATIONAL INC",,"13:00:00",""
"Mardi","50007","303513","YUPIK",,"15:00:00","Ferme 17h"
"Mardi","50011","124435","124435","00:00:00","14:30:00",
"Mardi","50010","137814","137814","00:00:00","18:00:00",""
"Mardi","50000","105880","155030 CANADA INC ( JEUX DE FAMILLE )","00:00:00","13:00:00",
"Mardi","50010","165495","165495","00:00:00","19:00:00",
"Mardi","50024","303495","A1 IMPORTS","00:00:00","13:30:00","Fermeture 15h30"
"Mardi","50010","101439","ACTION O&P INC","00:00:00","16:30:00",
"Mardi","50005","301311","AGENCE 2L","00:00:00","13:45:00",
"Mardi","50016","302448","ALTITUDE SPORTS","00:00:00","17:15:00",
"Mardi","50000","105856","AQRCB","00:00:00","13:00:00",
"Mardi","50013","102674","ATLAS TRAILER COACH PRODUCTS","00:00:00","16:30:00",
"Mardi","50011","303629","AUTO COUNTRY MONTRÉAL","00:00:00","15:00:00","9h00-17h00"
"Mardi","50011","102790","AUTRUCHE","00:00:00","13:00:00","Ferme 14h30"
"Mardi","50017","302586","B&B C/O EKKINOX","00:00:00","14:00:00",
"Mardi","50013","301166","BBQ QUÉBEC LONGUEUIL (B2C)","00:00:00","13:30:00",
"Mardi","50017","103390","BEAUTE STAR INC ( MTL )","00:00:00","17:00:00",
"Mardi","50001","302001","BENTLEY (WIPTEC)","00:00:00","18:30:00",
"Mardi","50001","105491","BLC INT'L INC ( LE GROUPE )","00:00:00","16:45:00",
"Mardi","50125","301114","BLINDS TO GO","00:00:00","00:00:00",
"Mardi","50019","302041","BOUCLAIR","00:00:00","16:00:00",""
"Mardi","50019","303280","BOUCLAIR 24 HEURES","00:00:00","16:00:00",""
"Mardi","50016","107821","BROWNING CANADA SPORTS LTEE","00:00:00","15:30:00",""
"Mardi","50016","107820","BROWNING CANADA SPORTS LTEE ( AAF )","00:00:00","15:30:00",
"Mardi","50012","112008","BUROPRO CITATION ST HYACINTHE","00:00:00","00:00:00",""
"Mardi","50013","167812","CADRES VERBEC INC","00:00:00","15:20:00",
"Mardi","50014","103109","CAFE BARISTA INC","00:00:00","14:50:00",
"Mardi","50129","303197","CAFE LIEGEOIS","00:00:00","10:00:00",""
"Mardi","50019","302525","CAMBIUM DISTRIBUTION","00:00:00","16:45:00",
"Mardi","50012","101680","CAMEMAT INC.","00:00:00","14:45:00",""
"Mardi","50002","110997","CARDINAL COURRIERS LTEE","00:00:00","18:15:00",
"Mardi","50001","303067","CATSPORTS","00:00:00","15:45:00",
"Mardi","50004","112060","CHALUT DIV BEAUTY SYSTEMS GROUP INC","00:00:00","21:00:00",
"Mardi","50010","301984","CHANTAL LACROIX B2C","00:00:00","13:30:00",""
"Mardi","50016","112122","CHAUSSURES M&M FOOTWEAR","00:00:00","15:00:00",
"Mardi","55609","303306","COLIBRI","00:00:00","17:30:00",""
"Mardi","50004","113333","COMMONWEALTH PLYWOOD (BOUCH)","00:00:00","19:30:00",
"Mardi","50001","301229","COMPASS GROUP CANADA/MA CAFÉINE","00:00:00","13:00:00",
"Mardi","50012","300482","CONFORT EXCELFLEX (BLEU ECO)","00:00:00","14:00:00",
"Mardi","55609","303557","COPICOM MONTRÉAL","00:00:00","14:00:00","toujours apporter 2 cages"
"Mardi","55609","113976","COURRIER PLUS","00:00:00","18:00:00",
"Mardi","50029","125007","DATA COMMUNICATION","00:00:00","18:15:00",
"Mardi","50000","300684","DECATHLON","00:00:00","18:00:00",
"Mardi","50014","118950","DIFFUSION DIMEDIA INC.","00:00:00","17:00:00",
"Mardi","50014","303598","DIFFUSION DIMEDIA INC. - SNR","00:00:00","17:00:00",""
"Mardi","50014","131120","DISTRIBUTION HMH INC ","00:00:00","13:30:00",
"Mardi","50027","300627","DISTRIBUTION MORISSETTE","00:00:00","16:00:00",
"Mardi","50012","155787","DISTRIBUTION PRO EXCELLENCE-87","00:00:00","13:30:00",
"Mardi","50118","303256","DISTRIBUTIONS EL-TEX","00:00:00","00:00:00",""
"Mardi","50002","120468","DOMINION BLUELINE","00:00:00","18:00:00",
"Mardi","50015","300630","DUFORT LAVIGNE ( ROBERT )","00:00:00","17:00:00",
"Mardi","50010","120790","DUROPAC","00:00:00","16:10:00",
"Mardi","50029","166045","EAB TOOL COMPANY","00:00:00","14:45:00",
"Mardi","55601","121385","EDELSTEIN DIVERSIFIED CO LTD - ECHOTAPE","00:00:00","15:00:00",
"Mardi","50001","302624","EMPIRE","00:00:00","15:30:00",
"Mardi","50002","301238","EVOLUTION","00:00:00","16:25:00",
"Mardi","50018","124547","FABRAPLY INC.","00:00:00","14:00:00",
"Mardi","50007","302339","FABRICVILLE","00:00:00","16:00:00",
"Mardi","50001","303201","FAMILYCROPS","00:00:00","15:35:00",
"Mardi","50013","125388","FORMEDICA LTEE","00:00:00","14:45:00",
"Mardi","50016","302958","FRANKLIN EMPIRE","00:00:00","16:45:00",
"Mardi","50011","129320","GRAND PRIX IMPORT","00:00:00","17:10:00",
"Mardi","50001","301022","GROUPE PHARMA","00:00:00","15:35:00",
"Mardi","50024","129900","GUAY BEAUTE INC","00:00:00","15:50:00",
"Mardi","50001","107860","HAMSTER (DIV. DE NOVEXCO INC.)","00:00:00","19:45:00",
"Mardi","50006","107860","HAMSTER (DIV. DE NOVEXCO INC.)","00:00:00","22:00:00",
"Mardi","50009","107860","HAMSTER (DIV. DE NOVEXCO INC.)","00:00:00","13:00:00","LIVRAISON DE RETOUR"
"Mardi","50002","130635","HARNOIS ENERGIES","00:00:00","15:30:00",
"Mardi","50011","131085","HIBBERT INTERNATIONAL INC.","00:00:00","16:15:00",
"Mardi","50012","300659","HMH ENVELOPPE","00:00:00","00:00:00",
"Mardi","50018","131875","HRS GLOBAL (9266-1677 QC INC)","00:00:00","14:30:00",
"Mardi","50004","303322","J.E. MONDOU MASCOUCHE","00:00:00","23:00:00",""
"Mardi","50019","303220","L'EMBALLAGE TOUT 3PL PIVAL STE-ANNE DE BELLEVUE","00:00:00","14:00:00","Ferme 14h40"
"Mardi","50028","301212","LA MAISON SIMONS","00:00:00","00:00:00",
"Mardi","50018","302189","LE JEAN BLEU INC","00:00:00","17:15:00",
"Mardi","50004","302061","LE MAGASIN DES COMMERÇANTS S&P","00:00:00","16:30:00",
"Mardi","50019","302180","LEADER AUTO RESSOURCE","00:00:00","16:00:00",
"Mardi","50002","168070","LES ATTACHES VISCAN","00:00:00","17:00:00",
"Mardi","50011","111445","LES EDITIONS CEC INC","00:00:00","15:30:00",
"Mardi","50024","157449","LES EQUIPEMENTS QUEMONT INC","00:00:00","16:30:00",
"Mardi","50011","164210","LES SOEURS EN VRAC","00:00:00","16:00:00",
"Mardi","50018","140702","LIEBERMANTEXTILES","00:00:00","15:00:00",""
"Mardi","50009","301776","LINEN CHEST","00:00:00","14:15:00",
"Mardi","50005","302039","LOTO-QUEBEC LOTERIES 2022","00:00:00","16:00:00",
"Mardi","50005","302039","LOTO-QUEBEC LOTERIES 2022","00:00:00","12:10:00",
"Mardi","50027","303591","MAISON JACYNTHE B2B","00:00:00","15:00:00",""
