"customer_id","client","route_ids","scheduled_pickup_days","days_at_or_below_100","percent_days_at_or_below_100","total_parcels_created","average_parcels_per_pickup_day","max_parcels_in_one_day","total_shipments_created","average_cubic_volume","volume_measured_parcels","average_weight","weight_measured_parcels","first_pickup_day","last_pickup_day"
"303067","CATSPORTS","50001","22","22","100","1055","47.95","94","535","4340.89","869","15.84","1055","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"137814","137814","50010","18","18","100","499","27.72","95","106","1011.78","528","13.88","568","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"129900","GUAY BEAUTE INC","50024","18","18","100","1112","61.78","95","823","1111.71","1194","13.76","1237","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"164210","LES SOEURS EN VRAC","50011","22","22","100","860","39.09","95","370","5904.43","834","46.06","860","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"302225","TANDEM 3PL","50001 / 50007","22","22","100","954","43.36","96","647","1551.69","1077","14.63","1100","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"150936","NOBLE GIFT","50014","22","22","100","614","27.91","98","211","3044.68","591","21.74","614","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"300627","DISTRIBUTION MORISSETTE","50013 / 50027","22","22","100","899","40.86","99","382","1648.98","883","15.87","899","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"102680","QUINCAILLERIE RICHELIEU LTEE RELIABLE","50001","22","22","100","1101","50.05","99","1101","647.1","1018","19.96","1101","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"145425","MARTECH","50001 / 50007","22","22","100","685","31.14","100","309","1049.07","623","22.46","685","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"182019","NASRI  INTERNATIONAL INC","50007 / 50014","22","22","100","395","17.95","100","161","3198.15","366","16.61","395","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"165776","TOMRA CANADA INC","50019","22","21","95.45","670","30.45","104","199","1598.29","624","33.62","670","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"303019","MAISON JACYNTHE INC","50013 / 50027","22","21","95.45","286","13","109","286","756.19","276","3.57","286","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"302414","WAREHOUSE","50024","22","21","95.45","1507","68.5","113","1304","1985.68","1431","9.46","1507","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"112140","TC MEDIA LIVRE INC (COLLECT)","50013 / 50027","22","21","95.45","865","39.32","156","440","1183.57","836","26.01","865","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"114309","DANESCO INC","50019","22","21","95.45","721","32.77","159","128","2956.66","675","18.76","721","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"109008","CANARM","50009","22","20","90.91","1311","59.59","116","352","2815.76","1119","11.45","1311","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"105210","D'AMOUR BICYCLE","50018","22","20","90.91","1542","70.09","116","749","4480.05","1487","25.48","1542","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"112005","BUROPRO CITATION DRUMMONVILLE","50012","22","20","90.91","1650","75","117","933","1674.37","1485","26.44","1650","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"130635","HARNOIS ENERGIES","50002","22","20","90.91","1060","48.18","126","312","1361.86","729","23.59","989","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"301311","AGENCE 2L","50005","22","20","90.91","1001","45.5","135","555","3250.93","974","15.43","1012","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"158563","QUINCAILLERIE RICHELIEU LTEE","50009","22","20","90.91","742","33.73","178","742","1331.85","556","12.13","742","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"302586","B&B C/O EKKINOX","50017","22","19","86.36","1312","59.64","115","674","5920.77","1193","15.81","1312","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"302190","TECHNOLOGIES EDUCATIO INC","50011","22","19","86.36","1490","67.73","123","1476","787.93","1444","5.47","1490","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"145369","MARION DISTRIBUTION","50024","22","19","86.36","1063","48.32","126","193","1051.96","1039","15.45","1058","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"303591","MAISON JACYNTHE B2B","50013 / 50027","22","19","86.36","752","34.18","160","64","1160.8","665","14.65","665","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"303513","YUPIK","50007 / 50014","22","19","86.36","1160","52.73","197","874","1188.2","1054","19.53","1160","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"301075","KARINE JONCAS COSMETIQUES","50007 / 50014","22","19","86.36","1106","50.27","321","844","1971.4","990","13.15","1106","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
